questions,lang
Give me all cosmonauts.,en
Gib mir alle Kosmonauten.,de
Dame todas las cosmonautas.,es
Dammi tutte le cosmonaute.,it
Donnes-moi tous les cosmonautes.,fr
Geef alle kosmonauten.,nl
Dă-mi toți cosmonauții.,ro
In which country does the Ganges start?,en
In welchem Land entspringt der Ganges?,de
¿En qué país nace el Ganges?,es
In quale stato nasce il Gange?,it
Dans quel pays commence le Gange?,fr
In welk land ontspringt de Ganges?,nl
Din ce țară izvorăște Ganga?,ro
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,en
Wann kommt der Film Worst Case Scenario in den Niederlanden in die Kinos?,de
¿Cuándo se estrena la película Worst Case Scenario en los países bajos?,es
Quando verrà proiettato il film Worst Case Scenario al cinema nei Paesi Bassi?,it
Quand sera la film Worst Case Scenario à voir dans les cinémas néerlandais?,fr
Wanneer komt de film Worst Case Scenario in Nederland in de bioscoop?,nl
Când va fi filmul Worst Case Scenario în cinematografele din Olanda?,ro
Which German cities have more than 250000 inhabitants?,en
Welche deutschen Städte haben mehr als 250000 Einwohner?,de
¿Qué ciudades alemanas tienen más de 250000 habitantes?,es
Quali città tedesche hanno più di 250000 abitanti?,it
Quelles villes allemandes ont plus de 250000 habitants?,fr
Welke Duitse steden hebben meer dan 250000 inwoners?,nl
Ce orașe germane au mai mult de 250000 de locuitori?,ro
Who was John F. Kennedy's vice president?,en
Wer war der Vizepräsident unter John F. Kennedy?,de
¿Quién fué el vicepresidente de John F. Kennedy?,es
Chi fu il vicepresidente di John F. Kennedy?,it
Qui était le vice-président de John F. Kennedy?,fr
Wie was de vicepresident onder John F. Kennedy?,nl
Cine a fost vicepreședintele lui John F. Kennedy?,ro
Who is the mayor of Berlin?,en
Wer ist der Bürgermeister von Berlin?,de
¿Quién es el alcalde de Berlin?,es
Chi è il sindaco di Berlino?,it
Qui est le maire de Berlin?,fr
Wie is de burgemeester van Berlijn?,nl
Cine este primarul din Berlin?,ro
How many students does the Free University in Amsterdam have?,en
Wieviele Studenten hat die Freie Universität in Amsterdam?,de
¿Cuántos estudiantes tiene la Universidad Libre de Amsterdam?,es
Quanti studenti ci sono nella Libera Università di Amsterdam?,it
Combien d'étudiants a l'université libre d'Amsterdam?,fr
Hoeveel studenten heeft de Vrije Universiteit in Amsterdam?,nl
Câți studenți are Universitatea Liberă din Amsterdam?,ro
What is the second highest mountain on Earth?,en
Was ist der zweithöchste Berg der Erde?,de
¿Cuál es la segunda montaña más alta de la tierra?,es
Qual è la seconda montagna più alta sulla Terra?,it
Quelle est la deuxième plus haute montagne de la Terre?,fr
Wat is de op één na hoogste berg ter wereld?,nl
Care este al doilea cel mai înalt munte de pe Pământ?,ro
Give me all professional skateboarders from Sweden.,en
Gib mir alle Profiskateboarder aus Schweden.,de
Dame todos las skateboarders profesionales de Suecia.,es
Dammi tutti gli skateboarders professionisti della Svezia.,it
Donne-moi tous les skateboarders professionnels de Suède.,fr
Noem alle professionele skateboarders uit Zweden.,nl
Dă-mi toți skateboarderii profesioniști din Suedia.,ro
When was Alberta admitted as province?,en
Wann wurde die Provinz Alberta gegründet?,de
¿Cúando fué fundada la provincia de Alberta?,es
Quando Alberta è stata ammessa come provincia?,it
Quand a Alberta reçu le status de province?,fr
Wanneer werd de provincie Alberta gesticht?,nl
Când a fost Alberta recunoscută ca provincie?,ro
To which countries does the Himalayan mountain system extend?,en
Über welche Länder erstreckt sich der Himalaya?,de
¿Por qué países se extiende el Himalaya?,es
Su quali stati si estende la catena montuosa dell'Himalaya?,it
Quels sont les pays chevauchés par l'Himalaya?,fr
Over welke landen strekt de Himalaya zich uit?,nl
Peste ce țări se întinde lanțul munților Himalaya?,ro
Give me a list of all bandleaders that play trumpet.,en
"Gib mir eine Liste aller Bandleader, die Trompete spielen.",de
Dame una lista de todos los líderes de un grupo que tocan la trompeta.,es
Dammi la lista di tutti i direttori di orchestra che suonano la tromba.,it
Donne-moi une liste de tous les chefs d'orchestre qui jouent trompette.,fr
Geef me een lijst van alle bandleider die trompet spelen.,nl
Dă-mi o listă a tuturor conducătorilor de formații care cântă la trompetă.,ro
Which countries have more than ten caves?,en
In welchen Ländern gibt es mehr als zehn Höhlen?,de
¿Qué países tienen más de diez cuevas?,es
Quali nazioni hanno più di dieci grotte?,it
Quels pays ont plus de dix grottes?,fr
Welke landen hebben meer dan tien grotten?,nl
Ce țări au mai mult de zece peșteri?,ro
What is the total amount of men and women serving in the FDNY?,en
Wieviele Männer und Frauen arbeiten in der New Yorker Berufsfeuerwehr?,de
¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?,es
Qual è il totale di uomini e donne che prestano servizio nel dipartimento dei vigili del fuoco di New York?,it
Combien d'hommes et femmes sont membres du corps des sapeurs-pompiers professionnels de New York?,fr
Wat is het totale aantal vrouwen en mannen dat werkt bij de brandweer van New York?,nl
Care este numărul total de bărbați și femei membri ai Departamentului de Pompieri din New York?,ro
Who produces Orangina?,en
Wer stellt Orangina her?,de
¿Quién produce Orangina?,es
Chi produce l'Orangina?,it
Qui produit Orangina?,fr
Wie is de producent van Orangina?,nl
Cine produce Orangina?,ro
Who is the Formula 1 race driver with the most races?,en
Wer ist der Formel-1-Fahrer mit den meisten Rennen?,de
¿Quién es el conductor de Formula 1 con más carreras?,es
Qual è il pilota di Formula 1 con più gare?,it
Quel est le pilote de Formule 1 qui a gagné le plus de courses?,fr
Wie is de Formule 1-coureur met de meeste races op zijn naam?,nl
Cine este pilotul de curse Formula 1 cu cele mai multe curse?,ro
Give me all world heritage sites designated within the past two years.,en
"Gib mir alle Welterbestätten, die in den vergangenen zwei Jahren aufgenommen wurden.",de
¿Qué patrimonios de la humanidad fueron reconocidos en los últimos dos años?,es
Dammi tutti i siti designati patrimoni dell'umanità negli ultimi due anni.,it
Donne-moi tous les patrimoines mondiaux qui ont été inscrits pendant les derniers deux ans.,fr
Noem alle plaatsen op de Werelderfgoedlijst die in de laatste twee jaar zijn toegevoegd.,nl
Dă-mi toate siturile de patrimoniu mondial desemnate in ultimii doi ani.,ro
Who is the youngest player in the Premier League?,en
Wer ist der jüngste Spieler in der Premier League?,de
¿Quién es el jugador más jóven de la Premier League?,es
Chi è il giocatore più giovane della Premier League?,it
Quel est le joueur le plus jeune de la Premier League?,fr
Wie is de jongste speler in de Premier League?,nl
Cine este cel mai tânăr jucător din Premier League?,ro
Give me all members of Prodigy.,en
Gib mir alle Bandmitglieder von Prodigy.,de
Dame todos los miembros de la banda Prodigy.,es
Dammi tutti i membri dei Prodigy.,it
Donne-moi tous les membres de Prodigy.,fr
Noem alle leden van Prodigy.,nl
Dă-mi toții membrii Prodigy.,ro
What is the longest river?,en
Was ist der längste Fluss?,de
¿Cuál es el río más largo?,es
Qual è il fiume più lungo?,it
Quel est le cours d'eau le plus long?,fr
Wat is de langste rivier?,nl
Care este cel mai lung fluviu?,ro
Does Breaking Bad have more episodes than Game of Thrones?,en
Hat Breaking Bad mehr Episoden als Game of Thrones?,de
¿Tiene Breaking Bad más episodios que Game of Thrones?,es
Breaking Bad ha più episodi di Game of Thrones?,it
A Breaking Bad plus d'épisodes que Game of Thrones?,fr
Heeft Breaking Bad meer afleveringen dan Game of Thrones?,nl
Are Breaking Bad mai multe episoade decât Game of Thrones?,ro
Give me all cars that are produced in Germany.,en
"Gib mir alle Autos, die in Deutschland hergestellt werden.",de
Dame todos los coches producidos en Alemania.,es
Dammi tutte le automobili che sono prodotte in Germania.,it
Donne-moi toutes les voitures qui sont produites en Allemagne.,fr
Geef alle auto's die in Duitsland gemaakt worden.,nl
Dă-mi toate mașinile care sunt produse în Germania.,ro
What were the main discoveries of the Mars rover Curiosity?,en
Was waren die wichtigsten Entdeckungen des Marsrovers Curiosity?,de
¿Cuáles fueron los principales descubrimientos de Mars rover Curiosity?,es
Quali sono state le scoperte piu' importanti del Mars rover Curiosity?,it
Quelles sont les découvertes les plus importantes du Mars Rover Curiosity?,fr
Wat zijn de meest belangrijke ontdekkingen van de Mars rover Curiosity?,nl
Care au fost descoperirile principale ale Mars rover Curiosity?,ro
Give me all people that were born in Vienna and died in Berlin.,en
"Gib mir alle Personen, die in Wien geboren wurden und in Berlin gestorben sind.",de
Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.,es
Dammi tutte le persone che sono nate a Vienna e morte a Berlino.,it
Donne-moi toutes les personnes qui sont nées à Vienne et mortes à Berlin.,fr
Noem alle personen die geboren zijn in Wenen en gestorven zijn in Berlijn.,nl
Dă-mi toți oamenii care s-au născut în Viena și au murit în Berlin.,ro
Is proinsulin a protein?,en
Ist Proinsulin ein Protein?,de
¿La proinsulina es una proteina?,es
La proinsulina è una proteina?,it
La pro-insuline est-elle une protéine?,fr
Is proinsuline een proteïne?,nl
Este proinsulina o proteină?,ro
How tall is Michael Jordan?,en
Wie groß ist Michael Jordan?,de
¿Qué altura tiene Michael Jordan?,es
Quanto è alto Michael Jordan?,it
Quelle est la taille de Michael Jordan?,fr
Hoe lang is Michael Jordan?,nl
