questions,lang
Which river does the Brooklyn Bridge cross?,en
Welchen Fluss überspannt die Brooklyn Bridge?,de
¿Por qué río cruza la Brooklyn Bridge?,es
Quale fiume attraversa il ponte di Brooklyn?,it
Quelle cours d'eau est traversé par le pont de Brooklyn?,fr
Welke rivier overspant de Brooklyn Bridge?,nl
Give me the websites of companies with more than 500000 employees.,en
Gib mir alle Webseiten von Unternehmen mit mehr als 500000 Angestellten.,de
Dame todas las páginas de Web de empresas con más de 500000 empleados.,es
Dammi tutti i siti internet di aziende con più di 500000 dipendenti.,it
Donnes-moi les sites webs de companies avec plus de 500000 employés.,fr
Geef me de websites van alle ondernemingen met meer dan 500000 werknemers.,nl
What is the official website of Tom Cruise?,en
Was ist die offizielle Website von Tom Cruise?,de
¿Cuál el la página de Web oficial de Tom Cruise?,es
Qual è il sito internet ufficiale di Tom Cruise?,it
Quel est le site web officiel de Tom Cruise?,fr
Wat is de officiële website van Tom Cruise?,nl
Give me all movies with Tom Cruise.,en
Gib mir alle Filme mit Tom Cruise.,de
Dame todas las películas con Tom Cruise,es
Dammi tutti i film con Tom Cruise.,it
Donnes-moi tous les films avec Tom Cruise.,fr
Noem alle films met Tom Cruise.,nl
Who created Wikipedia?,en
Wer hat Wikipedia gegründet?,de
¿Quién creó Wikipedia?,es
Chi ha creato Wikipedia?,it
Qui est le créateur de Wikipedia?,fr
Wie heeft Wikipedia opgericht?,nl
How many films did Hal Roach produce?,en
Wieviele Filme hat Hal Roach produziert?,de
¿Cuántas películas ha producido Hal Roach?,es
Quanti film ha prodotto Hal Roach?,it
Combien de films ont été produit par Hal Roach?,fr
Hoeveel films heeft Hal Roach geproduceerd?,nl
In which country does the Nile start?,en
In welchem Land entspringt der Nil?,de
¿En qué país nace el Nilo?,es
In quale stato nasce il Nilo?,it
Dans quel pays commence le Nil?,fr
In welk land ontspringt de Nijl?,nl
Which states of Germany are governed by the Social Democratic Party?,en
Welche Bundesländer in Deutschland werden von der SPD regiert?,de
¿En qué estados federales de Alemania gobierna la SPD?,es
In quali stati federati della Germania governa il Partito Socialista Democratico?,it
Quels sont les états d'Allemagne gouvernés par le parti social-démocrate d'Allemagne?,fr
In welke Duitse deelstaten is de SPD aan de macht?,nl
How tall is Claudia Schiffer?,en
Wie groß ist Claudia Schiffer?,de
¿Cómo de alta es Claudia Schiffer?,es
Quanto è alta Claudia Schiffer?,it
Quelle est la taille de Claudia Schiffer?,fr
Hoe lang is Claudia Schiffer?,nl
Which television shows were created by Walt Disney?,en
Welche Fernsehserien hat Walt Disney entworfen?,de
¿Qué series televisivas ideó Walt Disney?,es
Quali serie televisive sono state create dalla Walt Disney?,it
Quelles séries télevisées ont été créées par Walt Disney?,fr
Welke televisieseries werden bedacht door Walt Disney?,nl
What is the highest place of Karakoram?,en
Was ist die höhchste Stelle des Karakorum?,de
¿Cuál es el punto más alto del Karakorum?,es
Qual è il punto più alto del Karakoram?,it
Quel est l'endroit le plus haut du Karakoram?,fr
Wat is het hoogste punt van de Karakoram?,nl
Give me all cities in New Jersey with more than 100000 inhabitants.,en
"Gib mir alle Städte in New Jersey, die mehr als 100000 Einwohner haben.",de
Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.,es
Dammi tutte le città del New Jersey con più di 100000 abitanti.,it
Donnes-moi toutes les villes du New Jersey avec plus de 100000 habitants.,fr
Geef alle steden in New Jersey met meer dan 100000 inwoners.,nl
Which actors were born in Germany?,en
Welche Schauspieler wurden in Deutschland geboren?,de
¿Qué actores nacieron en Alemania?,es
Quali attori sono nati in Germania?,it
Quels acteurs sont nés en Allemagne?,fr
Welke acteurs zijn geboren in Duitsland?,nl
Give me all people with first name Jimmy.,en
"Gib mir alle Personen, die den Vornamen Jimmy haben.",de
Dame todas las personas con el nombre propio Jimmy.,es
Dammi tutte le persone il cui nome è Jimmy.,it
Donnes-moi toutes les personnes dont le prénom est Jimmy.,fr
Noem alle personen met de voornaam Jimmy.,nl
Which mountain is the highest after the Annapurna?,en
Was ist der höchste Berg nach dem Annapurna?,de
¿Cuál es la montaña más alta después del Annapurna?,es
Qual è la montagna più alta dopo l'Annapurna?,it
Quelle est la montagne la plus haute après l'Annapurna?,fr
Welke berg is na de Annapurna de hoogste berg?,nl
How often was Michael Jordan divorced?,en
Wie oft hat sich Michael Jordan scheiden lassen?,de
¿Cuántas veces se ha divorciado Michael Jordan?,es
Quante volte ha divorziato Michael Jordan?,it
Combien de fois a divorcé Michael Jordan?,fr
