questions,lang
List all the musicals with music by Elton John.,en
Liste alle Musicals mit Musik von Elton John auf.,de
Dame todos los musicales con música de Elton John.,es
Elenca tutti i musicals con musiche di Elton John.,it
Donne-moi tous les musicals avec de la musique de de Elton John.,fr
Toen een lijst van alle musicals met muziek van Elton John.,nl
एल्टन जॉन द्वारा संगीत के साथ सभी संगीतों को सूचीबद्ध करें।,hi_IN
Listează toate muzicalurile cu muzică de Elton John.,ro
How high is the lighthouse in Colombo?,en
فانوس دریایی کولومبو چقدر بلند است؟,fa
Wie hoch ist der Leuchtturm in Colombo?,de
¿Cómo de alta el faro de Colombo?,es
Quanto è alto il faro di Colombo?,it
Quelle est la hauteur du phare de Colombo?,fr
Hoe hoog is de vuurtoren van Colombo?,nl
कोलंबो में लाइटहाउस कितना ऊँचा है?,hi_IN
Cât de înalt este farul din Colombo?,ro
Who was the wife of U.S. president Lincoln?,en
Wer war die Frau von US-Präsident Lincoln?,de
¿Quién fué la mujer del presidente americano Lincoln?,es
Chi era la moglie del presidente degli Stati Uniti Lincoln?,it
Qui était l'épouse du président américain Lincoln?,fr
Wie was de vrouw van de Amerikaanse president Lincoln?,nl
अमेरिकी राष्ट्रपति लिंकन की पत्नी कौन थी?,hi_IN
Who is the host of the BBC Wildlife Specials?,en
مجری مجموعه حیات وحش بی.بی.سی چه کسی است؟,fa
Wer moderiert die BBC Wildlife Specials?,de
¿Quién es el anfitrión de los especiales de la BBC Wildlife?,es
Chi è il presentatore degli speciali della BBC Wildlife?,it
Qui est le présentateur de BBC Wildlife Specials?,fr
Wie is de presentator van de BBC Wildlife Specials?,nl
बीबीसी वाइल्डलाइफ स्पेशल का मेजबान कौन है?,hi_IN
Cine este prezentatorul pentru BBC Wildlife Specials?,ro
How much did Pulp Fiction cost?,en
پالپ فیکشن چقدر هزینه داشت؟,fa
Wieviel hat Pulp Fiction gekostet?,de
¿Cuanto costo Pulp Fiction?,es
Quanto è costato Pulp Fiction?,it
Combien a coûté Pulp Fiction?,fr
Howeveel koste Pulp Fiction?,nl
पल्प फिक्शन की लागत कितनी थी?,hi_IN
Cât a costat Pulp Fiction?,ro
In what city is the Heineken brewery?,en
آبجوسازی هینکن در کدام شهر قرار دارد؟,fa
In welcher Stadt ist die Heinekenbrauerei?,de
¿En qué ciudad esta la fábrica de cerveza Heineken?,es
In quale città si trova il birrificio della Heiniken?,it
Dans quelle ville se trouve la brasserie de Heineken?,fr
In welke stad bevindt zich de Heineken brouwerij?,nl
हाइनेकेन शराब की भठ्ठी किस शहर में है?,hi_IN
În ce oraș este fabrica de bere Heineken?,ro
When did Operation Overlord commence?,en
نبرد خان بزرگ کی شروع شد؟,fa
Wann wurde die Operation Overlord durchgeführt?,de
¿Cuándo comenzó la operación Overlord?,es
Quando è iniziata l'operatione Overlord?,it
Quand a commencé l'opération Overlord?,fr
Wanneer vond Operatie Overlord plaats?,nl
ऑपरेशन ओवेरलोर्ड कब शुरू हुआ था?,hi_IN
Când a început operațiunea Overlord?,ro
In which city does the Chile Route 68 end?,en
در کدام شهر مسیر 68 شیلی پایان می یابد؟,fa
In welcher Stadt hört die Ruta 68 auf?,de
¿En que ciudad termina la ruta Chilena 68?,es
In quale città termina la Route 68 in Cile?,it
Dans quelle ville se termine la route 68 chilienne?,fr
In welke stad eindigt de Route 68 in Chili?,nl
चिली रूट 68 का अंत कौनसे शहर में होता है?,hi_IN
În ce oraș se termină Route 68 din Chile?,ro
Who developed Slack?,en
اسلک را چه کسی توسعه داد؟,fa
Wer hat Slack entwickelt?,de
¿Quien desarrolló Slack?,es
Chi ha sviluppato Slack?,it
Qui est le développeur de Slack?,fr
Wie ontwikkelde Slack?,nl
कौन ने स्लैक विकसित किया है?,hi_IN
Cine a dezvoltat Slack?,ro
Who was married to president Chirac?,en
Wer war mit Präsident Chirac verheiratet?,de
¿Quién estuvo casado con el presidente Chirac?,es
Chi è stato sposato con il presidente Chirac?,it
Qui était marrié avec le président Chirac?,fr
Wie was met president Chirac getrouwd?,nl
राष्ट्रपति चिराक से किसने विवाह किया था?,hi_IN
Cine a fost căsătorit cu președintele Chirac?,ro
What did Bruce Carver die from?,en
Woran ist Bruce Carver gestorben?,de
¿De qué murió Bruce Carver?,es
Di cosa è morto Bruce Carver?,it
Quel est la cause de décès de Bruce Carver?,fr
Waaraan overleed Bruce Carver?,nl
ब्रूस कार्वर कि मृत्यु किस से हुई?,hi_IN
Which cities does the Weser flow through?,en
وزر از چه شهرهایی می گذرد؟,fa
Durch welche Städte fließt die Weser?,de
¿Por qué ciudades pasa el río Weser?,es
Attraverso quali città scorre il fiume Weser?,it
Quels sont les villes traversées par la Weser?,fr
Door welke steden loopt de Weser?,nl
किन शहरों से वेसर का प्रवाह होता है?,hi_IN
Ce orașe străbate Weserul?,ro
Which books by Kerouac were published by Viking Press?,en
چه کتاب هایی اثر کرواک توسط انتشارات وایکینگ منتشر شدند؟,fa
Welche Bücher von Kerouac wurden von Viking Press verlegt?,de
¿Qué libros de Kerouac han sido publicados por Viking Press?,es
Quali libri di Kerouac furono pubblicati da Viking Press?,it
Quels lives de Kerouac ont été publiés par Viking Press?,fr
