questions,lang
When was the Battle of Gettysburg?,en
Quando foi a batalha de Gettysburg?,pt_BR
Wann fand die Schlacht von Gettysburg statt?,de
¿Cuándo tuvo lugar la batalla de Gettysburg?,es
Quando ha avuto luogo la battaglia di Gettysburg?,it
Quand se déroula la bataille de Gettysburg?,fr
Wanneer was de Slag bij Gettysburg?,nl
गेटिसबर्ग का युद्ध कब हुआ था?,hi_IN
List all the musicals with music by Elton John.,en
Liste todos os musicais com músicas de Elton John.,pt_BR
Liste alle Musicals mit Musik von Elton John auf.,de
Dame todos los musicales con música de Elton John.,es
Elenca tutti i musicals con musiche di Elton John.,it
Donne-moi tous les musicals avec de la musique de de Elton John.,fr
Toen een lijst van alle musicals met muziek van Elton John.,nl
एल्टन जॉन द्वारा संगीत के साथ सभी संगीतों को सूचीबद्ध करें।,hi_IN
Listează toate muzicalurile cu muzică de Elton John.,ro
How high is the lighthouse in Colombo?,en
Qual a altura do Farol em Colombo?,pt_BR
فانوس دریایی کولومبو چقدر بلند است؟,fa
Wie hoch ist der Leuchtturm in Colombo?,de
¿Cómo de alta el faro de Colombo?,es
Quanto è alto il faro di Colombo?,it
Quelle est la hauteur du phare de Colombo?,fr
Hoe hoog is de vuurtoren van Colombo?,nl
कोलंबो में लाइटहाउस कितना ऊँचा है?,hi_IN
Cât de înalt este farul din Colombo?,ro
Who was the wife of U.S. president Lincoln?,en
Quem foi a esposa do presidente americano Lincoln?,pt_BR
Wer war die Frau von US-Präsident Lincoln?,de
¿Quién fué la mujer del presidente americano Lincoln?,es
Chi era la moglie del presidente degli Stati Uniti Lincoln?,it
Qui était l'épouse du président américain Lincoln?,fr
Wie was de vrouw van de Amerikaanse president Lincoln?,nl
अमेरिकी राष्ट्रपति लिंकन की पत्नी कौन थी?,hi_IN
Who is the host of the BBC Wildlife Specials?,en
Quem é o apresentador do BBC Wildlife Specials?,pt_BR
مجری مجموعه حیات وحش بی.بی.سی چه کسی است؟,fa
Wer moderiert die BBC Wildlife Specials?,de
¿Quién es el anfitrión de los especiales de la BBC Wildlife?,es
Chi è il presentatore degli speciali della BBC Wildlife?,it
Qui est le présentateur de BBC Wildlife Specials?,fr
Wie is de presentator van de BBC Wildlife Specials?,nl
बीबीसी वाइल्डलाइफ स्पेशल का मेजबान कौन है?,hi_IN
Cine este prezentatorul pentru BBC Wildlife Specials?,ro
How much did Pulp Fiction cost?,en
Quanto custou Pulp Fiction?,pt_BR
پالپ فیکشن چقدر هزینه داشت؟,fa
Wieviel hat Pulp Fiction gekostet?,de
¿Cuanto costo Pulp Fiction?,es
Quanto è costato Pulp Fiction?,it
Combien a coûté Pulp Fiction?,fr
Howeveel koste Pulp Fiction?,nl
पल्प फिक्शन की लागत कितनी थी?,hi_IN
Cât a costat Pulp Fiction?,ro
In what city is the Heineken brewery?,en
Em que cidade fica a cervejaria Heineken?,pt_BR
آبجوسازی هینکن در کدام شهر قرار دارد؟,fa
In welcher Stadt ist die Heinekenbrauerei?,de
¿En qué ciudad esta la fábrica de cerveza Heineken?,es
In quale città si trova il birrificio della Heiniken?,it
Dans quelle ville se trouve la brasserie de Heineken?,fr
In welke stad bevindt zich de Heineken brouwerij?,nl
हाइनेकेन शराब की भठ्ठी किस शहर में है?,hi_IN
În ce oraș este fabrica de bere Heineken?,ro
When did Operation Overlord commence?,en
Quando começou a Operação Overlord?,pt_BR
نبرد خان بزرگ کی شروع شد؟,fa
Wann wurde die Operation Overlord durchgeführt?,de
¿Cuándo comenzó la operación Overlord?,es
Quando è iniziata l'operatione Overlord?,it
Quand a commencé l'opération Overlord?,fr
Wanneer vond Operatie Overlord plaats?,nl
ऑपरेशन ओवेरलोर्ड कब शुरू हुआ था?,hi_IN
Când a început operațiunea Overlord?,ro
In which city does the Chile Route 68 end?,en
Em que cidade termina a Rota 68 do Chile?,pt_BR
در کدام شهر مسیر 68 شیلی پایان می یابد؟,fa
In welcher Stadt hört die Ruta 68 auf?,de
¿En que ciudad termina la ruta Chilena 68?,es
In quale città termina la Route 68 in Cile?,it
Dans quelle ville se termine la route 68 chilienne?,fr
In welke stad eindigt de Route 68 in Chili?,nl
चिली रूट 68 का अंत कौनसे शहर में होता है?,hi_IN
În ce oraș se termină Route 68 din Chile?,ro
Who developed Slack?,en
Quem desenvolveu o Slack?,pt_BR
اسلک را چه کسی توسعه داد؟,fa
Wer hat Slack entwickelt?,de
¿Quien desarrolló Slack?,es
